"","spline","month"
"Jan 2020",5.3006332,2020-01-01
"Feb 2020",2.72477504939125,2020-02-01
"Mar 2020",1.23192040982472,2020-03-01
"Apr 2020",0.604911999999999,2020-04-01
"May 2020",0.614228463559232,2020-05-01
"Jun 2020",0.980892143973757,2020-06-01
"Jul 2020",1.41356130966667,2020-07-01
"Aug 2020",1.68271460428619,2020-08-01
"Sep 2020",1.80611217236745,2020-09-01
"Oct 2020",1.86333453366667,2020-10-01
"Nov 2020",1.92968911946787,2020-11-01
"Dec 2020",2.06339100716225,2020-12-01
"Jan 2021",2.31838218566667,2021-01-01
"Feb 2021",2.72441639185374,2021-02-01
"Mar 2021",3.21449435441684,2021-03-01
"Apr 2021",3.69742855,2021-04-01
"May 2021",4.10247352841137,2021-05-01
"Jun 2021",4.44065213209859,2021-06-01
"Jul 2021",4.74342927666667,2021-07-01
"Aug 2021",5.03818146309137,2021-08-01
"Sep 2021",5.3359315338203,2021-09-01
"Oct 2021",5.64361391666667,2021-10-01
"Oct 20211",5.64361391666667,2021-11-01
"Oct 20212",5.64361391666667,2021-12-01
